svg,id,modal,data,title,link,not_modal
FKIEA_Ecosystem.svg,tourism-population,modals/tourism-population.html,,Tourism - Florida Keys Population,modals/human-activities_tourism.html,
FKIEA_Ecosystem.svg,resident-population,modals/resident-population.html,keys_resident_population.csv,resident-population,,
FKIEA_Ecosystem.svg,sst,modals/sst.html,,sst,,
FKIEA_Ecosystem.svg,recreational-fishing,modals/recreational-fishing.html,Fishing_License_Sales_for_Monroe_total.csv,recreational-fishing,,
FKIEA_Ecosystem.svg,wastewater-treatment,modals/wastewater-treatment.html,,wastewater-treatment,,
FKIEA_Ecosystem.svg,stonecrab,modals/stonecrab.html,stone_crab.csv,stonecrab,,
FKIEA_Ecosystem.svg,lobster,modals/lobster.html,lobster_indicator_data.csv,lobster,,
FKIEA_Ecosystem.svg,registered-vessels,modals/registered-vessels.html,Boating_enforcement_actions.csv,registered-vessels,,
FKIEA_Ecosystem.svg,chlorophyll,modals/chlorophyll.html,chl_a_sfp.csv,chlorophyll,,
FKIEA_Ecosystem.svg,reef-fish-diversity,modals/reef-fish-diversity.html,simpsons_biodiversity_fish.csv,reef-fish-diversity,,
FKIEA_Ecosystem.svg,algal-blooms,modals/algal-blooms.html,,algal-blooms,,
FKIEA_Ecosystem.svg,DIP,modals/DIP.html,dip.csv,DIP,,
FKIEA_Ecosystem.svg,reef-builders,modals/reef-builders.html,,reef-builders,,
FKIEA_Ecosystem.svg,calcification,modals/calcification.html,carbonate_production.csv,calcification,,
FKIEA_Ecosystem.svg,hogfish,modals/hogfish.html,hogfish.csv,hogfish,,
FKIEA_Ecosystem.svg,commercial-fishing,modals/commercial-fishing.html,commecial_trips_total.csv,commercial-fishing,,
FKIEA_Ecosystem.svg,hurricane-coastal-protections,modals/hurricane-coastal-protections.html,,hurricane-coastal-protections,,
FKIEA_Ecosystem.svg,macroalgae,modals/macroalgae.html,fiu_serl_macroalgae_abundance.csv,macroalgae,,
FKIEA_Ecosystem.svg,tourism-value,modals/tourism-value.html,,tourism-value,,
FKIEA_Ecosystem.svg,seagrass,modals/seagrass.html,fiu_serl_seagrass_abundance.csv,seagrass,,
FKIEA_Ecosystem.svg,DIN,modals/DIN.html,din.csv,DIN,,
FKIEA_Ecosystem.svg,brain-corals,modals/brain-corals.html,,brain-corals,,
FKIEA_Ecosystem.svg,stewardship,modals/stewardship.html,mar_number_participants.csv,stewardship,,
FKIEA_Ecosystem.svg,yellowtail,modals/yellowtail.html,yellowtail_abundance.csv,yellowtail,,
FKIEA_Ecosystem.svg,red-grouper,modals/red-grouper.html,red_grouper.csv,red-grouper,,
FKIEA_Ecosystem.svg,coral-species-richness,modals/coral-species-richness.html,cremp_coral_species_richness.csv,coral-species-richness,,
FKIEA_Ecosystem.svg,maritime-hermitage,modals/maritime-hermitage.html,,maritime-hermitage,,
FKIEA_Ecosystem.svg,housing-disruption,modals/housing-disruption.html,,housing-disruption,,
FKIEA_Ecosystem.svg,mangroves,modals/mangroves.html,,mangroves,,
FKIEA_Ecosystem.svg,sponges-soft-corals,modals/sponges-soft-corals.html,,sponges-soft-corals,,
FKIEA_Ecosystem.svg,coral-living-tissue,modals/coral-living-tissue.html,,coral-living-tissue,,
FKIEA_Ecosystem.svg,DO,modals/DO.html,,DO,,
FKIEA_Ecosystem.svg,beach-closures,modals/beach-closures.html,,beach-closures,,
FKIEA_Ecosystem.svg,lionfish,modals/lionfish.html,lionfish_abundance.csv,lionfish,,
FKIEA_Ecosystem.svg,black-grouper,modals/black-grouper.html,black_grouper,black-grouper,,